tournament,edition,source_year,round,slot,date,home_team,away_team,home_score,away_score,actual_advancer,parent_left,parent_right
FIFA World Cup,2014,2014,R16,R16_1,2014-06-28,Brazil,Chile,1,1,Brazil,,
FIFA World Cup,2014,2014,R16,R16_2,2014-06-28,Colombia,Uruguay,2,0,Colombia,,
FIFA World Cup,2014,2014,R16,R16_3,2014-06-30,France,Nigeria,2,0,France,,
FIFA World Cup,2014,2014,R16,R16_4,2014-06-30,Germany,Algeria,2,1,Germany,,
FIFA World Cup,2014,2014,R16,R16_5,2014-07-01,Argentina,Switzerland,1,0,Argentina,,
FIFA World Cup,2014,2014,R16,R16_6,2014-07-01,Belgium,United States,2,1,Belgium,,
FIFA World Cup,2014,2014,R16,R16_7,2014-06-29,Netherlands,Mexico,2,1,Netherlands,,
FIFA World Cup,2014,2014,R16,R16_8,2014-06-29,Costa Rica,Greece,1,1,Costa Rica,,
FIFA World Cup,2014,2014,QF,QF_1,2014-07-04,Brazil,Colombia,2,1,Brazil,R16_1,R16_2
FIFA World Cup,2014,2014,QF,QF_2,2014-07-04,France,Germany,0,1,Germany,R16_3,R16_4
FIFA World Cup,2014,2014,QF,QF_3,2014-07-05,Argentina,Belgium,1,0,Argentina,R16_5,R16_6
FIFA World Cup,2014,2014,QF,QF_4,2014-07-05,Netherlands,Costa Rica,0,0,Netherlands,R16_7,R16_8
FIFA World Cup,2014,2014,SF,SF_1,2014-07-08,Brazil,Germany,1,7,Germany,QF_1,QF_2
FIFA World Cup,2014,2014,SF,SF_2,2014-07-09,Netherlands,Argentina,0,0,Argentina,QF_4,QF_3
FIFA World Cup,2014,2014,F,F_1,2014-07-13,Germany,Argentina,1,0,Germany,SF_1,SF_2
FIFA World Cup,2018,2018,R16,R16_1,2018-06-30,France,Argentina,4,3,France,,
FIFA World Cup,2018,2018,R16,R16_2,2018-06-30,Uruguay,Portugal,2,1,Uruguay,,
FIFA World Cup,2018,2018,R16,R16_3,2018-07-02,Brazil,Mexico,2,0,Brazil,,
FIFA World Cup,2018,2018,R16,R16_4,2018-07-02,Belgium,Japan,3,2,Belgium,,
FIFA World Cup,2018,2018,R16,R16_5,2018-07-03,Sweden,Switzerland,1,0,Sweden,,
FIFA World Cup,2018,2018,R16,R16_6,2018-07-03,Colombia,England,1,1,England,,
FIFA World Cup,2018,2018,R16,R16_7,2018-07-01,Russia,Spain,1,1,Russia,,
FIFA World Cup,2018,2018,R16,R16_8,2018-07-01,Croatia,Denmark,1,1,Croatia,,
FIFA World Cup,2018,2018,QF,QF_1,2018-07-06,Uruguay,France,0,2,France,R16_2,R16_1
FIFA World Cup,2018,2018,QF,QF_2,2018-07-06,Brazil,Belgium,1,2,Belgium,R16_3,R16_4
FIFA World Cup,2018,2018,QF,QF_3,2018-07-07,Sweden,England,0,2,England,R16_5,R16_6
FIFA World Cup,2018,2018,QF,QF_4,2018-07-07,Russia,Croatia,2,2,Croatia,R16_7,R16_8
FIFA World Cup,2018,2018,SF,SF_1,2018-07-10,France,Belgium,1,0,France,QF_1,QF_2
FIFA World Cup,2018,2018,SF,SF_2,2018-07-11,Croatia,England,2,1,Croatia,QF_4,QF_3
FIFA World Cup,2018,2018,F,F_1,2018-07-15,France,Croatia,4,2,France,SF_1,SF_2
FIFA World Cup,2022,2022,R16,R16_1,2022-12-03,Netherlands,United States,3,1,Netherlands,,
FIFA World Cup,2022,2022,R16,R16_2,2022-12-03,Argentina,Australia,2,1,Argentina,,
