match_no,group,date,home,away,home_score,away_score,fixture_winner,venue_advantage
1,A,2026-06-11,Mexico,South Africa,2,0,Mexico,1
2,A,2026-06-11,South Korea,Czechia,2,1,South Korea,0
3,B,2026-06-12,Canada,Bosnia and Herzegovina,1,1,,1
4,D,2026-06-12,United States,Paraguay,4,1,United States,1
5,C,2026-06-13,Haiti,Scotland,0,1,Scotland,0
6,D,2026-06-13,Australia,Turkey,2,0,Australia,0
7,C,2026-06-13,Brazil,Morocco,1,1,,0
8,B,2026-06-13,Qatar,Switzerland,1,1,,0
9,E,2026-06-14,Ivory Coast,Ecuador,1,0,Ivory Coast,0
10,E,2026-06-14,Germany,Curacao,7,1,Germany,0
11,F,2026-06-14,Netherlands,Japan,2,2,,0
12,F,2026-06-14,Sweden,Tunisia,5,1,Sweden,0
13,H,2026-06-15,Saudi Arabia,Uruguay,1,1,,0
14,H,2026-06-15,Spain,Cape Verde,0,0,,0
15,G,2026-06-15,Iran,New Zealand,2,2,,0
16,G,2026-06-15,Belgium,Egypt,1,1,,0
17,I,2026-06-16,France,Senegal,3,1,France,0
18,I,2026-06-16,Iraq,Norway,1,4,Norway,0
19,J,2026-06-16,Argentina,Algeria,3,0,Argentina,0
20,J,2026-06-16,Austria,Jordan,3,1,Austria,0
21,L,2026-06-17,Ghana,Panama,1,0,Ghana,0
22,L,2026-06-17,England,Croatia,4,2,England,0
23,K,2026-06-17,Portugal,DR Congo,1,1,,0
24,K,2026-06-17,Uzbekistan,Colombia,1,3,Colombia,0
25,A,2026-06-18,Mexico,South Korea,1,0,Mexico,1
26,A,2026-06-18,Czechia,South Africa,1,1,,0
27,B,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,Switzerland,0
28,B,2026-06-18,Canada,Qatar,6,0,Canada,1
29,C,2026-06-19,Brazil,Haiti,3,0,Brazil,0
30,C,2026-06-19,Scotland,Morocco,0,1,Morocco,0
31,D,2026-06-19,Turkey,Paraguay,0,1,Paraguay,0
32,D,2026-06-19,United States,Australia,2,0,United States,1
33,E,2026-06-20,Germany,Ivory Coast,2,1,Germany,0
34,E,2026-06-20,Ecuador,Curacao,0,0,,0
35,F,2026-06-20,Netherlands,Sweden,5,1,Netherlands,0
36,F,2026-06-20,Tunisia,Japan,0,4,Japan,0
37,H,2026-06-21,Uruguay,Cape Verde,2,2,,0
38,H,2026-06-21,Spain,Saudi Arabia,4,0,Spain,0
39,G,2026-06-21,New Zealand,Egypt,1,3,Egypt,0
40,G,2026-06-21,Belgium,Iran,0,0,,0
41,J,2026-06-22,Argentina,Austria,2,0,Argentina,0
42,J,2026-06-22,Jordan,Algeria,1,2,Algeria,0
43,I,2026-06-22,France,Iraq,3,0,France,0
44,I,2026-06-22,Norway,Senegal,3,2,Norway,0
45,L,2026-06-23,England,Ghana,0,0,,0
46,L,2026-06-23,Panama,Croatia,0,1,Croatia,0
47,K,2026-06-23,Portugal,Uzbekistan,5,0,Portugal,0
48,K,2026-06-23,Colombia,DR Congo,1,0,Colombia,0
49,A,2026-06-24,Czechia,Mexico,0,3,Mexico,-1
50,A,2026-06-24,South Africa,South Korea,1,0,South Africa,0
51,B,2026-06-24,Switzerland,Canada,2,1,Switzerland,-1
52,B,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,Bosnia and Herzegovina,0
53,C,2026-06-24,Scotland,Brazil,0,3,Brazil,0
54,C,2026-06-24,Morocco,Haiti,4,2,Morocco,0
55,D,2026-06-25,Turkey,United States,3,2,Turkey,-1
56,D,2026-06-25,Paraguay,Australia,0,0,,0
57,E,2026-06-25,Ecuador,Germany,2,1,Ecuador,0
58,E,2026-06-25,Curacao,Ivory Coast,0,2,Ivory Coast,0
59,F,2026-06-25,Japan,Sweden,1,1,,0
60,F,2026-06-25,Tunisia,Netherlands,1,3,Netherlands,0
61,G,2026-06-26,New Zealand,Belgium,1,5,Belgium,0
62,G,2026-06-26,Egypt,Iran,1,1,,0
63,H,2026-06-26,Uruguay,Spain,0,1,Spain,0
64,H,2026-06-26,Cape Verde,Saudi Arabia,0,0,,0
65,I,2026-06-26,Norway,France,1,4,France,0
66,I,2026-06-26,Senegal,Iraq,5,0,Senegal,0
67,J,2026-06-27,Jordan,Argentina,1,3,Argentina,0
68,J,2026-06-27,Algeria,Austria,3,3,,0
69,K,2026-06-27,Colombia,Portugal,0,0,,0
70,K,2026-06-27,DR Congo,Uzbekistan,3,1,DR Congo,0
71,L,2026-06-27,Panama,England,0,2,England,0
72,L,2026-06-27,Croatia,Ghana,2,1,Croatia,0
73,R32,2026-06-28,South Africa,Canada,0,1,Canada,0
74,R32,2026-06-29,Germany,Paraguay,1,1,Paraguay,0
75,R32,2026-06-29,Netherlands,Morocco,1,1,Morocco,0
76,R32,2026-06-29,Brazil,Japan,2,1,Brazil,0
77,R32,2026-06-30,France,Sweden,3,0,France,0
78,R32,2026-06-30,Ivory Coast,Norway,1,2,Norway,0
79,R32,2026-06-30,Mexico,Ecuador,2,0,Mexico,1
80,R32,2026-07-01,England,DR Congo,,,,0
81,R32,2026-07-01,United States,Bosnia and Herzegovina,,,,1
82,R32,2026-07-01,Belgium,Senegal,,,,0
83,R32,2026-07-02,Portugal,Croatia,,,,0
84,R32,2026-07-02,Spain,Austria,,,,0
85,R32,2026-07-02,Switzerland,Algeria,,,,0
86,R32,2026-07-03,Argentina,Cape Verde,,,,0
87,R32,2026-07-03,Colombia,Ghana,,,,0
88,R32,2026-07-03,Australia,Egypt,,,,0
