as_of,method,match_no,confirmed_fixture,predicted_fixture,correct_fixture,correct_display_order,confirmed_teams_in_this_slot,missing_confirmed_teams,extra_predicted_teams,confirmed_fixture_predicted_in_slot
2026-06-10,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-10,expected-table,74,Germany v Paraguay,Germany v Czechia,no,no,1,Paraguay,Czechia,-
2026-06-10,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-10,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-10,expected-table,77,France v Sweden,France v Paraguay,no,no,1,Sweden,Paraguay,-
2026-06-10,expected-table,78,Ivory Coast v Norway,Ecuador v Norway,no,no,1,Ivory Coast,Ecuador,-
2026-06-10,expected-table,79,Mexico v Ecuador,Mexico v Scotland,no,no,1,Ecuador,Scotland,-
2026-06-10,expected-table,80,England v DR Congo,England v Ivory Coast,no,no,1,DR Congo,Ivory Coast,-
2026-06-10,expected-table,81,United States v Bosnia and Herzegovina,Turkey v Senegal,no,no,0,"Bosnia and Herzegovina, United States","Senegal, Turkey",-
2026-06-10,expected-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-10,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-10,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-10,expected-table,85,Switzerland v Algeria,Canada v Egypt,no,no,0,"Algeria, Switzerland","Canada, Egypt",-
2026-06-10,expected-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-10,expected-table,87,Colombia v Ghana,Colombia v Panama,no,no,1,Ghana,Panama,-
2026-06-10,expected-table,88,Australia v Egypt,United States v Iran,no,no,0,"Australia, Egypt","Iran, United States",-
2026-06-10,modal-group-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-10,modal-group-table,74,Germany v Paraguay,Germany v Bosnia and Herzegovina,no,no,1,Paraguay,Bosnia and Herzegovina,-
2026-06-10,modal-group-table,75,Netherlands v Morocco,Japan v Scotland,no,no,0,"Morocco, Netherlands","Japan, Scotland",-
2026-06-10,modal-group-table,76,Brazil v Japan,Brazil v Netherlands,no,no,1,Japan,Netherlands,-
2026-06-10,modal-group-table,77,France v Sweden,France v Australia,no,no,1,Sweden,Australia,-
2026-06-10,modal-group-table,78,Ivory Coast v Norway,Ecuador v Senegal,no,no,0,"Ivory Coast, Norway","Ecuador, Senegal",-
2026-06-10,modal-group-table,79,Mexico v Ecuador,Mexico v Morocco,no,no,1,Ecuador,Morocco,-
2026-06-10,modal-group-table,80,England v DR Congo,Croatia v Ivory Coast,no,no,0,"DR Congo, England","Croatia, Ivory Coast",-
2026-06-10,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Tunisia,no,no,1,Bosnia and Herzegovina,Tunisia,-
