as_of,method,correct_r32_teams,correct_r32_team_placements,correct_r32_fixtures,correct_r32_fixtures_percent,correct_r32_fixture_slots,missed_r32_fixture_slots,correct_display_order_slots,confirmed_fixture_predicted_elsewhere
2026-06-10,expected-table,25/32,16/32,4/16,25.0%,"75, 76, 83, 84","73, 74, 77, 78, 79, 80, 81, 82, 85, 86, 87, 88","75, 76, 83, 84",-
2026-06-10,modal-group-table,25/32,9/32,1/16,6.2%,84,"73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88",84,-
2026-06-11,expected-table,25/32,16/32,4/16,25.0%,"75, 76, 83, 84","73, 74, 77, 78, 79, 80, 81, 82, 85, 86, 87, 88","75, 76, 83, 84",-
2026-06-11,modal-group-table,24/32,16/32,3/16,18.8%,"77, 83, 84","73, 74, 75, 76, 78, 79, 80, 81, 82, 85, 86, 87, 88","77, 83, 84",-
2026-06-12,expected-table,26/32,19/32,4/16,25.0%,"75, 76, 83, 84","73, 74, 77, 78, 79, 80, 81, 82, 85, 86, 87, 88","75, 76, 83, 84",-
2026-06-12,modal-group-table,24/32,19/32,5/16,31.2%,"75, 76, 77, 83, 84","73, 74, 78, 79, 80, 81, 82, 85, 86, 87, 88","75, 76, 77, 83, 84",-
2026-06-13,expected-table,26/32,18/32,4/16,25.0%,"75, 76, 83, 84","73, 74, 77, 78, 79, 80, 81, 82, 85, 86, 87, 88","75, 76, 83, 84",-
2026-06-13,modal-group-table,25/32,15/32,3/16,18.8%,"80, 83, 88","73, 74, 75, 76, 77, 78, 79, 81, 82, 84, 85, 86, 87","80, 83, 88","75, 76"
2026-06-14,expected-table,27/32,20/32,6/16,37.5%,"75, 76, 78, 79, 83, 84","73, 74, 77, 80, 81, 82, 85, 86, 87, 88","75, 76, 78, 79, 83, 84",-
2026-06-14,modal-group-table,26/32,19/32,3/16,18.8%,"75, 76, 83","73, 74, 77, 78, 79, 80, 81, 82, 84, 85, 86, 87, 88","75, 76, 83",-
2026-06-15,expected-table,27/32,20/32,6/16,37.5%,"75, 76, 78, 79, 83, 84","73, 74, 77, 80, 81, 82, 85, 86, 87, 88","75, 76, 78, 79, 83, 84",-
2026-06-15,modal-group-table,26/32,19/32,5/16,31.2%,"74, 75, 76, 79, 88","73, 77, 78, 80, 81, 82, 83, 84, 85, 86, 87","74, 75, 76, 79, 88",-
2026-06-16,expected-table,26/32,19/32,5/16,31.2%,"75, 76, 78, 83, 84","73, 74, 77, 79, 80, 81, 82, 85, 86, 87, 88","75, 76, 78, 83, 84",-
2026-06-16,modal-group-table,26/32,18/32,5/16,31.2%,"75, 76, 78, 84, 88","73, 74, 77, 79, 80, 81, 82, 83, 85, 86, 87","75, 76, 78, 84, 88",-
