rank_by_rating_change,team,start_rating,end_rating,rating_change,gross_rating_movement,directional_efficiency,directional_balance,movement_pattern,positive_moves,negative_moves,flat_days,largest_daily_gain,largest_daily_loss
1,France,2104.2,2166.7,62.5,62.5,1.0,1.0,consistently up,3,0,15,32.9,0.0
2,DR Congo,1743.4,1800.5,57.1,76.1,0.75,0.333,fluctuating,2,1,15,46.9,-9.5
3,Ghana,1639.3,1696.2,56.9,81.5,0.698,0.333,fluctuating,2,1,15,44.1,-12.3
4,Egypt,1783.4,1837.8,54.4,54.4,1.0,1.0,consistently up,3,0,15,36.8,0.0
5,United States,1838.0,1891.3,53.3,136.3,0.391,0.333,fluctuating,2,1,15,51.8,-41.5
6,Ivory Coast,1805.0,1853.5,48.5,81.9,0.592,0.333,fluctuating,2,1,15,45.6,-16.7
7,Cape Verde,1648.2,1695.6,47.4,47.4,1.0,1.0,consistently up,3,0,15,27.5,0.0
8,Mexico,1944.4,1991.0,46.6,46.6,1.0,1.0,consistently up,3,0,15,19.5,0.0
9,Sweden,1767.7,1809.4,41.7,100.3,0.416,0.333,fluctuating,2,1,15,54.5,-29.3
10,Argentina,2155.0,2195.1,40.1,40.1,1.0,1.0,consistently up,3,0,15,18.0,0.0
11,Netherlands,2005.3,2043.7,38.4,41.4,0.928,0.333,fluctuating,2,1,15,29.3,-1.5
12,Bosnia and Herzegovina,1663.1,1698.1,35.0,75.4,0.464,0.333,fluctuating,2,1,15,34.8,-20.2
13,Morocco,1982.3,2017.1,34.8,34.8,1.0,1.0,consistently up,3,0,15,18.5,0.0
14,South Africa,1653.0,1682.6,29.6,85.6,0.346,0.0,fluctuating,2,2,14,47.1,-18.0
15,Brazil,2046.3,2074.9,28.6,39.4,0.726,0.333,fluctuating,2,1,15,22.8,-5.4
16,Colombia,2033.1,2059.5,26.4,33.0,0.8,0.333,fluctuating,2,1,15,20.2,-3.3
17,Switzerland,1957.0,1982.7,25.7,73.7,0.349,0.333,fluctuating,2,1,15,29.5,-24.0
18,England,2074.1,2091.3,17.2,67.4,0.255,0.333,fluctuating,2,1,15,30.3,-25.1
19,Portugal,2015.8,2028.3,12.5,51.9,0.241,0.333,fluctuating,2,1,15,29.0,-19.7
20,Austria,1884.5,1896.8,12.3,48.1,0.256,-0.333,fluctuating,1,2,15,30.2,-16.6
21,Norway,1953.1,1964.7,11.6,77.4,0.15,0.333,fluctuating,2,1,15,23.0,-32.9
22,Australia,1891.8,1899.9,8.1,96.7,0.084,-0.333,fluctuating,1,2,15,52.4,-43.0
23,Belgium,1954.3,1957.7,3.4,41.8,0.081,-0.333,fluctuating,1,2,15,22.6,-13.6
24,Japan,1987.9,1991.0,3.1,36.1,0.086,0.333,fluctuating,2,1,15,18.1,-16.5
25,Algeria,1881.0,1883.9,2.9,38.9,0.075,0.333,fluctuating,2,1,15,19.5,-18.0
26,Croatia,1956.3,1955.8,-0.5,60.1,-0.008,0.333,fluctuating,2,1,15,17.5,-30.3
27,Senegal,1894.9,1888.0,-6.9,77.5,-0.089,-0.333,fluctuating,1,2,15,35.3,-21.5
28,Spain,2194.6,2185.8,-8.8,46.2,-0.19,0.333,fluctuating,2,1,15,11.0,-27.5
29,Germany,2004.0,1994.0,-10.0,66.2,-0.151,0.333,fluctuating,2,1,15,16.8,-38.1
30,Canada,1881.5,1866.0,-15.5,84.5,-0.183,0.0,fluctuating,2,2,14,18.0,-29.5
31,Paraguay,1903.3,1886.8,-16.5,87.1,-0.189,0.333,fluctuating,2,1,15,33.9,-51.8
32,Ecuador,2005.5,1974.3,-31.2,107.4,-0.291,-0.333,fluctuating,1,2,15,38.1,-45.6
